codigo,descripcion,unidades_por_bulto
004389,BEBIDA INSTANTANEA EN POLVO DE LIMON SIN CALORIAS CLIGHT 9 GR,180
002360,BEBIDA LACTEA AVENA ALPINA 250 GR,1
002361,BEBIDA LACTEA AVENA CANELA ALPINA 250 GR,1
005237,BEBIDA LÁCTEA CON AVENA LA VITTA TETRA 200ML,24
004995,BEBIDA LACTEA EN POLVO DON MIGUEL 125 GR,24
004994,BEBIDA LACTEA EN POLVO DON MIGUEL 400 GR,24
000999,BEBIDA LIMON LIPTON 1.5 LT,6
001001,BEBIDA LIMON LIPTON 500 ML,12
000912,BEBIDA LIMON NESTEA DUOPACK 180 GR,36
000997,BEBIDA MANDARINA GATORADE 500 ML,12
002436,BEBIDA MANDARINA IMP. GATORADE 500 ML,12
004684,BEBIDA MANDARINA POWERADE 500 ML,1
004805,BEBIDA MARACUYA GATORADE 500 ML,1
004685,BEBIDA MORA AZUL POWERADE 500 ML,1
001009,BEBIDA MORA GATORADE 500 ML,12
005345,BEBIDA SABOR A DURAZNO VITA TEA 1.5 LT,1
002440,BEBIDA SABOR A LIMON PANELADA 29 GR,1
005346,BEBIDA SABOR A TAMARINDO JUSTY 1.5 LT,1
005081,BEBIDA SABOR DURAZNO JUSTY 1.5 LT,12
005341,BEBIDA SABOR MANDARINA JUSTY 1.5 LT,12
001892,BEBIDA SABOR NARANJA JUSTY 1.5 LT,12
005306,BEBIDA SABOR SANDIA JUSTY 1.5 LT,12
002430,BEBIDA SPEED MAX BOTELLA 1 LT,1
002427,BEBIDA SPEED MAX BOTELLA 250 ML,1
002426,BEBIDA SPEED MAX LATA 269 ML,1
001006,BEBIDA TE VERDE LIPTON 1.5 LT,6
001004,BEBIDA TE VERDE LIPTON 500 ML,12
004730,BEBIDA WATERMELON ARIZONA 650 ML,24
000117,BERENJENA KG,1
003754,BICARBONATO DE SODIO ALIS 100 GR,100
001502,BICARBONATO OLYMPIA 155 GR,1
002613,BIGBOOM CHUPETA PINTALABIOS PAQ 48 UNID,384
003875,BIMBO CESTAS 1.50,1
000423,BISTEC DE SOLOMO ALTODEVA 1 KG (NO USAR),1
000431,BISTEC PULPA NEGRA ALTODEVA 1 KG (NO USAR),1
000438,BISTEC PULPA NEGRA ALTODEVA 500 GR (NO USAR),1
003038,BISTEC TAURUS 250 GR (NO USAR),1
003953,BOLIGRAFOS TINTA NEGRA,1
001918,BOLI KRUNCH MUNCHY 85 GR,20
001932,BOLI KRUNCH XXL MUNCHY 180 GR,10
003169,BOLOGNA DE POLLO AHULUX KG,1
003176,BOLOGNA DE POLLO Y PIMENTON AHULUX KG,1
000258,BOLSA DE HIELO PROGRESO,1
003760,BOLSA GRANDE AAA,1
004209,BOLSAS HERMETICAS TRASPARENTES WYNWOOD 54 UND,1
003976,BOLSA SIN ASA 3 KG,1
004892,BOMBILLO GENERICO BULBO LED VIETVEN 12 W,100
000473,BOMBILLO LED BULB 30W AWA,1
000476,BOMBILLO LED BULB 9W AWA,1
003826,BOMBILLO LED HERMOZA 10 WATT,100
003322,BOMBILLO LED HERMOZA 12 WATT,1
003827,BOMBILLO LED HERMOZA 15 WATTS,1
003795,BOMBILLO LED HERMOZA 18 WATT,1
003825,BOMBILLO LED HERMOZA 5 WATTS,1
003321,BOMBILLO LED HERMOZA 9 WATTS,1
000516,BOMBILLO MAXLUX 200 W,50
004820,BOMBILLO MAXLUX 7 W,50
000347,BOMBONES CHOCOLATES SURTIDOS 9 GR,1
002282,BOMBONES ESPECIALIDADES NESTLE 251 GR,1
003019,BOMBONES SURTIDOS NESTLE,1
004548,BOTA DE NAVIDAD PIÑATA 280 GR,1
003483,BOTECITOS DE CHOCOLATE ONCE ONCE 35 GR,192
001542,BOTECITOS DE CHOCOLATE ONCE ONCE PAQ 6 UND 210 GR,24
003482,BOTECITOS DE FRESA ONCE ONCE 35 GR,192
001541,BOTECITOS DE FRESA ONCE ONCE PAQ 6 UND 210 GR,24
003484,BOTECITOS DE VAINILLA ONCE ONCE 35 GR,192
001543,BOTECITOS DE VAINILLA ONCE ONCE PAQ 6 UND 210 GR,24
003478,BOTECITOS FUDGE ONCE ONCE 50 GR,192
001539,BOTECITOS FUDGE ONCE ONCE PAQ 6 UND 300 GR,24
002198,BRILLO DE ALAMBRE ALICLEAN,1
003312,BRILLO DE ALAMBRE UND,1
000153,BROCOLI KG,1
002435,BUBBALOO SPARKIES 25 GR,480
000894,CACAO EN POLVO NESTLE 200 GR,8
001650,CACHAPA CON QUESO TREO BOKADO 110 GR,10
000231,CAFE A GRANEL 100 GR,1
002114,CAFE ARAUCA 100 GR,30
002113,CAFE ARAUCA 200 GR,15
002117,CAFE ARAUCA 50 GR,60
002115,CAFE FLOR DE ARAUCA 200 GR,15
002112,CAFE FLOR DE ARAUCA 500 GR,10
002030,CAFE GOURMET AMANECER 100 GR,50
002026,CAFE GOURMET AMANECER 200 GR,24
002027,CAFE GOURMET AMANECER 250 GR,12
002025,CAFE GOURMET AMANECER 500 GR,10
002031,CAFE GOURMET DELLA NONNA 100 GR,50
002029,CAFE GOURMET DELLA NONNA 200 GR,24
002028,CAFE GOURMET DELLA NONNA 500 GR,10
003337,CAFE GRANO ROJO 100GR,1
000534,CAFE LOS ARABITOS 200 GR,1
001266,CAFE MADRID 100 GR,1
001264,CAFE MADRID 250 GR,1
001265,CAFE MADRID 500 GR,1
002116,CAFE SAN SALVADOR 200 GR,15
002111,CAFE SAN SALVADOR 500 GR,10
000118,CALABACIN KG,1
001520,CALDO DE POLLO OLYMPIA 24 GR,1
000137,CAMBUR KG,1
001331,CANELA MOLIDA MC CORMICK 60 GR,6
001293,CANELITAS MARINELA 240 GR,1
003447,CANELLONES DIRECTO AL HORNO CAPRI 250 GR,12
004412,CANTINE CAVIRO EXTRA DRY ESPUMANTE 750 ML,6
002536,CARAM/ CHOC. GRANDE AZUL BIANCHI 40 GR,1
004165,CARAMELO CEREZA FREEGELLS  UND,432
005043,"CARAMELO CEREZA HALLS 25,2 GR",360
002587,CARAMELO CHOCOLATE BIANCHI BOLSA 100 UND,18
002485,CARAMELO CHOCOLATE BLANCO BIANCHI BOLSA 100 UND,18
002480,CARAMELO DE CAFE GURME 50 UND,36
004058,CARAMELO DE COCO ALOKADOS 100 UND,20
002565,CARAMELO DE LECHE RICATO 50 UND,1
002537,CARAMELO DE MORA AZUL CHAO 100 UND,24
002477,CARAMELO EN BARRA ORIGINAL LOKIÑO 400 GR,1
002481,CARAMELO EN BARRA SURTIDOS LOKIÑO 400 GR,1
000358,CARAMELO EN BARRA SURTIDOS LOKIÑO 8 GR,1
002618,CARAMELO FRUTAS RELLENAS AMERICANDY 100 UND,1
002506,CARAMELO HIPER ACIDO REVOLCON 250 GR,12
004292,CARAMELO IND. EUCALIPTO FREEGELLS 101 UND,24
004291,CARAMELO IND. EXTRA FUERTE FREEGELLS 101 UND,432
004293,CARAMELO INDIVIDUAL VITAMINA C FREEGELLS X 101 UND,24
002496,CARAMELO LIMON CHAO 100 UND,24
002541,CARAMELO LIMON X2 CHAO 100 UND,18
002581,CARAMELO MALTEADA DE CHOCOLATE BIANCHI 55 GR,24
